,product_sku,total_submitted_orders,avg_m12_low_price,avg_m12_high_price,total_preds,discount_12m,high_price_12m,active_price_12m,snapshot_date,abs_diff_price,orders_diff
23995,GRB104P4367,0,8.89999999999999,8.89999999999999,16.9427025318146,55.0,8.9,4.005,2023-10-30,4.89499999999999,-16.9427025318146
15963,GRB105P1754,0,10.9,10.9,1.43828584253788,55.0,10.9,4.905,2023-10-30,5.995,-1.43828584253788
22299,GRB106P11676,208,4.89999999999999,4.89999999999999,1.56991571933031,65.0,4.9,1.715,2023-10-30,3.18499999999999,206.4300842806697
96232,GRB106P12552,2584,14.9000000000007,17.4703090988254,2.49909228086472,60.0,17.9,7.16,2023-10-30,7.7400000000007,2581.5009077191353
101089,GRB106P136,0,15.9,15.9,0.335438996553421,45.0,15.9,8.745,2023-10-30,7.155000000000001,-0.335438996553421
61097,GRB106P141,0,24.9,24.9,0.419988054782152,45.0,24.9,13.695,2023-10-30,11.204999999999998,-0.419988054782152
105333,GRB106P143,0,52.8999999999998,52.8999999999998,0.952664472162724,50.0,52.9,26.45,2023-10-30,26.4499999999998,-0.952664472162724
39246,GRB106P144,0,52.8999999999999,52.8999999999999,0.992512259632349,50.0,52.9,26.45,2023-10-30,26.4499999999999,-0.992512259632349
108336,GRB106P1594,0,8.90000000000004,8.90000000000004,2.38452279567719,55.0,8.9,4.005,2023-10-30,4.8950000000000395,-2.38452279567719
21597,GRB106P1595,0,33.8999999999998,33.8999999999998,0.342921381816268,50.0,33.9,16.95,2023-10-30,16.9499999999998,-0.342921381816268
5766,GRB106P1596,0,19.9000000000001,19.9000000000001,0.359137119725347,45.0,19.9,10.945,2023-10-30,8.955000000000101,-0.359137119725347
54617,GRB106P17140,24,15.9,15.9,19.4819113016129,55.0,15.9,7.155,2023-10-30,8.745000000000001,4.5180886983871
36887,GRB106P17639,24,5.9,5.9,1.81237982213497,65.0,5.9,2.065,2023-10-30,3.8350000000000004,22.18762017786503
110893,GRB106P2157,0,53.9,53.9,1.18413131311536,50.0,53.9,26.95,2023-10-30,26.95,-1.18413131311536
66175,GRB106P303,0,8.90000000000002,8.90000000000002,1.54483699798584,60.0,8.9,3.56,2023-10-30,5.340000000000019,-1.54483699798584
105125,GRB106P3753,0,109.900000000001,109.900000000001,7.33279126882553,60.0,109.9,43.96,2023-10-30,65.94000000000099,-7.33279126882553
104672,GRB106P3938,0,29.8999999999998,29.8999999999998,5.78498160839081,50.0,29.9,14.95,2023-10-30,14.9499999999998,-5.78498160839081
104986,GRB106P3952,0,58.8999999999998,58.8999999999998,2.30227388441563,50.0,58.9,29.45,2023-10-30,29.4499999999998,-2.30227388441563
108048,GRB106P42,0,8.90000000000004,8.90000000000004,3.49459278583527,55.0,8.9,4.005,2023-10-30,4.8950000000000395,-3.49459278583527
99459,GRB106P662,0,7.90000000000002,7.90000000000002,2.31234969198704,55.0,7.9,3.555,2023-10-30,4.34500000000002,-2.31234969198704
27408,GRB106P663,0,36.9,36.9,11.9343530237675,55.0,36.9,16.605,2023-10-30,20.294999999999998,-11.9343530237675
11344,GRB106P692,0,15.9,15.9,4.27517750859261,55.0,15.9,7.155,2023-10-30,8.745000000000001,-4.27517750859261
110647,GRB106P77,0,4.89999999999999,4.89999999999999,1.02076087519526,60.0,4.9,1.96,2023-10-30,2.9399999999999897,-1.02076087519526
30550,GRB107P1028,32,9.90000000000006,9.90000000000006,1.41979248076677,60.0,9.9,3.96,2023-10-30,5.940000000000061,30.58020751923323
42617,GRB107P10906,8,94.8999999999997,99.185714285714,8.52825337648392,60.0,99.9,39.96,2023-10-30,54.93999999999969,-0.5282533764839208
107904,GRB107P10907,8,106.9,106.9,8.55701214075089,60.0,106.9,42.76,2023-10-30,64.14000000000001,-0.5570121407508903
115702,GRB107P10908,0,139.9,139.9,7.86728483438492,60.0,139.9,55.96,2023-10-30,83.94,-7.86728483438492
94401,GRB107P10909,8,151.9,151.9,10.373720228672,65.0,151.9,53.165,2023-10-30,98.73500000000001,-2.373720228671999
15084,GRB107P10910,0,164.9,164.9,8.55229562520981,65.0,164.9,57.715,2023-10-30,107.185,-8.55229562520981
68375,GRB107P11052,0,13.9,13.9,1.76392689347267,60.0,13.9,5.56,2023-10-30,8.34,-1.76392689347267
48269,GRB107P11155,8,109.9,109.9,17.9624720811844,70.0,109.9,32.97,2023-10-30,76.93,-9.962472081184401
52424,GRB107P11156,16,36.9000000000001,36.9000000000001,9.86819049715996,60.0,36.9,14.76,2023-10-30,22.1400000000001,6.13180950284004
44304,GRB107P12248,0,169.9,169.9,11.0515385866165,65.0,169.9,59.465,2023-10-30,110.435,-11.0515385866165
82841,GRB107P14917,0,49.9,49.9,9.44116029143333,55.0,49.9,22.455,2023-10-30,27.445,-9.44116029143333
50890,GRB107P14918,0,74.9,122.042857142857,7.15992778539658,75.0,129.9,32.475,2023-10-30,42.425000000000004,-7.15992778539658
77377,GRB107P15252,0,64.9,64.9,6.79186281561852,55.0,64.9,29.205,2023-10-30,35.69500000000001,-6.79186281561852
5721,GRB107P15253,0,69.8999999999999,69.8999999999999,3.36497840285301,55.0,69.9,31.455,2023-10-30,38.44499999999991,-3.36497840285301
100821,GRB107P15254,8,64.8999999999999,64.8999999999999,2.78202076256275,55.0,64.9,29.205,2023-10-30,35.69499999999991,5.21797923743725
74204,GRB107P15255,0,56.9000000000001,56.9000000000001,1.85708851367235,50.0,56.9,28.45,2023-10-30,28.4500000000001,-1.85708851367235
40668,GRB107P15256,0,64.9,64.9,2.52243521809578,55.0,64.9,29.205,2023-10-30,35.69500000000001,-2.52243521809578
44720,GRB107P15257,0,319.9,319.9,10.1394062638283,80.0,319.9,63.98,2023-10-30,255.92,-10.1394062638283
97612,GRB107P15258,0,54.9000000000001,54.9000000000001,6.92826417088509,55.0,54.9,24.705,2023-10-30,30.1950000000001,-6.92826417088509
124555,GRB107P15259,8,44.9,44.9,6.92179478704929,55.0,44.9,20.205,2023-10-30,24.695,1.07820521295071
36372,GRB107P15260,0,32.9,32.9,7.16088795661926,60.0,32.9,13.16,2023-10-30,19.74,-7.16088795661926
103246,GRB107P15261,0,69.9,69.9,13.6220693588257,55.0,69.9,31.455,2023-10-30,38.44500000000001,-13.6220693588257
123560,GRB107P15262,0,64.9000000000001,64.9000000000001,12.7984828650951,55.0,64.9,29.205,2023-10-30,35.69500000000011,-12.7984828650951
88955,GRB107P15263,0,54.9,54.9,17.3929486274719,55.0,54.9,24.705,2023-10-30,30.195,-17.3929486274719
96223,GRB107P15264,40,114.9,149.185714285714,12.9143797159195,80.0,154.9,30.98,2023-10-30,83.92,27.0856202840805
97387,GRB107P15265,0,5.9,5.9,2.58905622363091,55.0,5.9,2.655,2023-10-30,3.2450000000000006,-2.58905622363091
112727,GRB107P17480,0,169.9,169.9,24.707358956337,75.0,169.9,42.475,2023-10-30,127.42500000000001,-24.707358956337
65866,GRB107P17481,0,24.9,24.9,4.76530937850475,50.0,24.9,12.45,2023-10-30,12.45,-4.76530937850475
91963,GRB107P17482,0,49.9,49.9,17.2745046019554,55.0,49.9,22.455,2023-10-30,27.445,-17.2745046019554
44208,GRB107P17483,0,114.9,114.9,19.0146869421005,70.0,114.9,34.47,2023-10-30,80.43,-19.0146869421005
91807,GRB107P17484,0,14.9,14.9,4.25515322387218,55.0,14.9,6.705,2023-10-30,8.195,-4.25515322387218
61300,GRB107P17485,0,44.9,44.9,16.696342587471,55.0,44.9,20.205,2023-10-30,24.695,-16.696342587471
72154,GRB107P17486,0,19.9,19.9,4.18560060858727,55.0,19.9,8.955,2023-10-30,10.944999999999999,-4.18560060858727
129044,GRB107P17487,0,29.9,29.9,9.9477199614048,50.0,29.9,14.95,2023-10-30,14.95,-9.9477199614048
65359,GRB107P17488,0,54.9,54.9,17.3243435025215,55.0,54.9,24.705,2023-10-30,30.195,-17.3243435025215
23711,GRB107P17489,0,34.9,34.9,12.0150598287582,55.0,34.9,15.705,2023-10-30,19.195,-12.0150598287582
57576,GRB107P17493,0,349.9,349.9,24.8789038658142,95.0,349.9,17.495,2023-10-30,332.405,-24.8789038658142
89094,GRB107P17494,0,14.9,14.9,4.25515322387218,55.0,14.9,6.705,2023-10-30,8.195,-4.25515322387218
44283,GRB107P17495,0,114.9,114.9,17.55587631464,60.0,114.9,45.96,2023-10-30,68.94,-17.55587631464
55244,GRB107P3678,24,3.89999999999999,3.89999999999999,3.88064928352833,15.0,3.9,3.315,2023-10-30,0.5849999999999902,20.11935071647167
38304,GRB107P4298,200,7.90000000000005,7.90000000000005,1.03496272861958,60.0,7.9,3.16,2023-10-30,4.74000000000005,198.96503727138042
101615,GRB107P4303,800,11.8999999999998,13.6142857142855,3.3275417983532,60.0,13.9,5.56,2023-10-30,6.3399999999998,796.6724582016468
58440,GRB108P920,0,9.9,9.9,5.37335669994354,55.0,9.9,4.455,2023-10-30,5.445,-5.37335669994354
79809,GRB109P10345,0,8.89999999999999,8.89999999999999,17.6149137020111,55.0,8.9,4.005,2023-10-30,4.89499999999999,-17.6149137020111
24078,GRB110P10037,0,22.9,22.9,7.32385493814945,60.0,22.9,9.16,2023-10-30,13.739999999999998,-7.32385493814945
112169,GRB110P10038,0,26.9,26.9,20.486968755722,60.0,26.9,10.76,2023-10-30,16.14,-20.486968755722
33655,GRB110P10039,0,19.9,19.9,27.6758501529694,60.0,19.9,7.96,2023-10-30,11.939999999999998,-27.6758501529694
4855,GRB111P1145,0,10.9,10.9,0.617691017687321,50.0,10.9,5.45,2023-10-30,5.45,-0.617691017687321
24524,GRB111P1146,0,19.9000000000001,19.9000000000001,2.00734765082598,50.0,19.9,9.95,2023-10-30,9.950000000000102,-2.00734765082598
25295,GRB111P2269,0,18.9,18.9,0.802937190979719,55.0,18.9,8.505,2023-10-30,10.394999999999998,-0.802937190979719
711,GRB111P2307,0,6.90000000000004,6.90000000000004,4.92870336771011,50.0,6.9,3.45,2023-10-30,3.45000000000004,-4.92870336771011
58534,GRB111P2308,8,9.90000000000004,9.90000000000004,0.677438218146563,50.0,9.9,4.95,2023-10-30,4.950000000000039,7.322561781853437
20152,GRB111P3940,0,26.9000000000006,26.9000000000006,1.29335740953684,55.0,26.9,12.105,2023-10-30,14.795000000000599,-1.29335740953684
54472,GRB111P3941,8,17.9000000000001,17.9000000000001,1.21465601027012,50.0,17.9,8.95,2023-10-30,8.950000000000102,6.7853439897298795
48039,GRB111P3942,0,14.9000000000001,14.9000000000001,0.64327522739768,50.0,14.9,7.45,2023-10-30,7.4500000000001,-0.64327522739768
